,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race/Ethnicity,,,,,,,,,,Income (Optional),,,,,,,,,,Education (Optional),,,,,,,,,,Employment (Optional),,,,,,,,Occupation (Optional),,,,,,,,,,,,,,,Marital Status (Optional),,,,,,,
Country,State/Prov,Total,% of Total,Males,% Male,Females,% Female,Non- Binary,% Non- Binary,Prefer Not To Say,% PNTS,Youth Age Unknown,Under 12,12-13,14-15,16-17,18-19,% Under 20,20-22,23-24,% 20-24,25-27,28-29,% 25-29,30-32,33-35,% 30-35,36-39,40-49,50-59,60-69,70-89,% 36-89,Adult Age Unknown,Lifetime,Adult,College,Youth,Coach & Player,Coach,Coach & Affiliate,Affiliate Player,Affiliate Youth,Recreational Event,Youth-Serving Organization,Friends & Family,American Indian/Alaska Native/Aleutian,Asian,Black/African American,Hawaiian Native/Other Pacific Islander,Hispanic/Latinx,Multiracial,Other Ethnic or Racial Identity,Prefer Not to Answer,White,[BLANK],"Over $200,000","$100,000-$149,000","$15,000-$24,999","$150,000-$199,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,000","Under $15,000",Prefer not to answer,[BLANK],Current Graduate Student,Current High School Student,Current Undergraduate Student,Did not graduate high school,Graduated College,High School Graduate,Post Graduate Degree,Prefer not to answer,Some College,[BLANK],Employed full-time,Employed part-time,Full-time homemaker,Full-time student,Prefer not to answer,Retired,Unemployed/looking for work,[BLANK],Administrative,Consultant,Education,Entrepreneur,Executive,Government/Military,Homemaker,Manager,Manufacturing,Non-Profit,Professional/Technical,Service,Student,Unemployed,[BLANK],Divorced,Living with a partner/significant other,Married,Prefer not to answer,Separated,Single,Widowed,[BLANK]
US,AL,501,0.81%,368,73.45%,132,26.35%,0,0.00%,1,0.20%,0,0,0,0,6,53,11.78%,176,90,53.09%,59,20,15.77%,32,15,9.38%,8,23,14,3,0,9.58%,2,8,210,268,7,6,1,0,0,0,0,0,1,0,15,13,2,10,8,4,18,420,11,3,9,13,4,26,26,15,158,83,164,29,4,208,0,73,9,32,6,18,122,114,69,2,132,24,0,22,138,7,3,9,5,0,11,2,9,9,11,60,18,179,21,157,1,3,77,9,0,271,0,140
US,VT,413,0.67%,250,60.53%,162,39.23%,0,0.00%,1,0.24%,7,7,11,14,24,57,29.06%,122,29,36.56%,30,24,13.08%,14,18,7.75%,21,26,7,2,0,13.56%,0,6,70,164,34,10,5,0,2,38,84,0,0,1,19,3,0,2,7,4,30,282,65,4,6,4,1,19,15,5,74,62,223,16,29,112,1,38,2,21,3,7,184,51,33,1,102,16,0,6,204,4,2,19,2,2,4,0,4,2,8,16,3,127,6,214,1,10,25,15,0,144,1,217
US,SC,390,0.63%,262,67.18%,127,32.56%,1,0.26%,0,0.00%,0,0,1,2,9,53,16.67%,146,35,46.41%,37,32,17.69%,20,22,10.77%,14,11,7,1,0,8.46%,0,3,172,190,2,2,1,0,0,20,0,0,0,1,13,7,1,11,3,4,21,324,5,2,10,8,2,23,19,15,108,62,141,16,12,153,0,62,5,28,3,10,101,96,45,0,102,10,1,18,118,6,9,9,2,2,10,0,5,8,2,41,16,136,9,135,0,7,55,11,0,198,0,119
US,ID,368,0.60%,238,64.67%,130,35.33%,0,0.00%,0,0.00%,1,1,11,28,122,80,66.03%,44,15,16.03%,19,17,9.78%,8,4,3.26%,6,5,6,1,0,4.89%,0,0,64,66,206,6,7,0,0,17,2,0,0,4,7,3,3,11,8,2,32,278,20,1,10,6,1,17,7,6,103,58,159,3,111,51,2,35,4,11,11,7,133,50,41,0,77,32,1,16,151,5,1,13,3,0,2,0,6,0,3,20,17,128,15,155,4,11,21,16,0,164,0,152
US,RI,353,0.57%,217,61.47%,134,37.96%,0,0.00%,2,0.57%,1,6,14,8,29,76,37.96%,146,24,48.16%,14,8,6.23%,13,5,5.10%,1,3,5,0,0,2.55%,0,1,56,206,47,7,1,0,2,0,31,0,2,0,19,2,0,11,10,2,15,259,35,2,5,1,0,18,5,6,84,61,171,8,28,135,2,22,2,16,1,5,134,40,29,0,97,15,0,18,154,1,3,15,0,0,1,0,1,1,4,14,10,121,12,170,0,4,11,12,0,164,1,161
Canada,BC,318,0.52%,165,51.89%,151,47.48%,1,0.31%,1,0.31%,0,0,0,0,1,37,11.95%,76,55,41.19%,53,21,23.27%,27,16,13.52%,12,18,2,0,0,10.06%,0,1,217,86,2,3,6,0,3,0,0,0,0,0,135,4,3,0,9,9,31,124,3,0,3,15,1,18,14,5,89,34,139,8,2,100,0,46,7,23,4,6,122,59,46,0,56,10,0,12,135,3,10,8,5,2,5,0,4,0,2,24,15,86,13,141,1,13,16,20,0,126,0,142
US,NH,306,0.50%,202,66.01%,102,33.33%,2,0.65%,0,0.00%,0,0,0,9,40,60,35.62%,97,29,41.18%,25,8,10.78%,16,6,7.19%,3,6,5,2,0,5.23%,0,1,73,141,80,8,2,0,1,0,0,0,0,2,15,3,1,8,2,3,19,242,11,0,6,5,1,21,10,3,82,50,128,7,39,94,2,30,2,15,4,11,102,46,38,0,85,17,1,3,116,4,1,13,2,1,1,0,0,4,3,20,9,111,8,129,0,5,15,18,0,139,0,129
Canada,ON,296,0.48%,124,41.89%,170,57.43%,1,0.34%,1,0.34%,0,0,0,4,4,22,10.14%,69,36,35.47%,40,27,22.64%,30,8,12.84%,8,40,7,1,0,18.92%,0,2,239,24,4,0,1,0,20,5,0,0,1,0,63,4,1,2,9,6,30,177,4,1,6,8,2,16,24,16,63,54,106,11,9,74,0,55,4,36,6,3,98,87,30,0,55,11,0,10,103,3,11,16,1,1,10,0,11,2,4,29,13,85,4,106,1,25,27,22,0,114,0,107
US,MT,276,0.45%,152,55.07%,81,29.35%,23,8.33%,20,7.25%,0,0,0,0,0,23,8.33%,62,33,34.42%,36,22,21.01%,31,13,15.94%,20,30,4,1,0,19.93%,1,0,47,79,0,1,0,0,149,0,0,0,0,2,2,0,0,2,1,5,11,127,126,0,2,6,1,7,9,3,69,14,165,3,0,74,1,21,2,10,3,7,155,29,33,0,37,8,0,5,164,2,2,6,2,1,3,0,1,0,6,7,14,61,8,163,0,2,10,6,0,96,0,162
US,KY,268,0.43%,220,82.09%,47,17.54%,0,0.00%,1,0.37%,0,2,0,10,35,49,35.82%,55,24,29.48%,33,22,20.52%,19,5,8.96%,1,8,5,0,0,5.22%,0,2,100,80,72,7,1,0,0,0,6,0,0,0,13,5,0,12,4,2,12,213,7,0,4,5,2,24,21,5,59,51,97,9,39,65,1,36,5,21,13,12,67,65,31,1,65,14,0,11,81,6,6,10,4,0,4,0,4,3,1,24,12,100,6,88,0,6,30,11,0,138,0,83
